time_s,position_rad,torque_Nm
0.00500,3.815,0.005
0.01000,3.815,0.009
0.01500,3.815,0.014
0.02000,3.815,0.019
0.02500,3.815,0.024
0.03000,3.815,0.029
0.03500,3.815,0.034
0.04000,3.815,0.038
0.04500,3.815,0.043
0.05000,3.814,0.048
0.05500,3.815,0.053
0.06000,3.815,0.058
0.06500,3.815,0.063
0.07000,3.815,0.068
0.07500,3.815,0.073
0.08000,3.815,0.078
0.08500,3.815,0.083
0.09000,3.815,0.088
0.09500,3.815,0.094
0.10000,3.815,0.099
0.10500,3.815,0.104
0.11000,3.815,0.109
0.11500,3.815,0.114
0.12000,3.815,0.120
0.12500,3.815,0.125
0.13000,3.815,0.130
0.13500,3.815,0.135
0.14000,3.815,0.141
0.14500,3.815,0.146
0.15000,3.815,0.151
0.15500,3.815,0.157
0.16000,3.815,0.162
0.16500,3.815,0.168
0.17000,3.815,0.173
0.17500,3.815,0.179
0.18000,3.815,0.184
0.18500,3.815,0.190
0.19000,3.815,0.195
0.19500,3.815,0.201
0.20000,3.815,0.206
0.20500,3.815,0.212
0.21000,3.815,0.217
0.21500,3.815,0.223
0.22000,3.815,0.229
0.22500,3.815,0.234
0.23000,3.815,0.240
0.23500,3.815,0.246
0.24000,3.815,0.251
0.24500,3.815,0.257
0.25000,3.815,0.263
0.25500,3.815,0.269
0.26000,3.815,0.275
0.26500,3.815,0.280
0.27000,3.815,0.286
0.27500,3.815,0.292
0.28000,3.815,0.298
0.28500,3.815,0.304
0.29000,3.815,0.310
0.29500,3.815,0.316
0.30000,3.815,0.322
0.30500,3.815,0.328
0.31000,3.815,0.334
0.31500,3.815,0.340
0.32000,3.815,0.346
0.32500,3.815,0.352
0.33000,3.815,0.358
0.33500,3.815,0.364
0.34000,3.815,0.370
0.34500,3.815,0.376
0.35000,3.815,0.382
0.35500,3.815,0.388
0.36000,3.815,0.394
0.36500,3.815,0.400
0.37000,3.815,0.406
0.37500,3.815,0.413
0.38000,3.815,0.419
0.38500,3.816,0.425
0.39000,3.816,0.431
0.39500,3.816,0.438
0.40000,3.816,0.444
0.40500,3.816,0.450
0.41000,3.817,0.456
0.41500,3.817,0.463
0.42000,3.817,0.469
0.42500,3.817,0.475
0.43000,3.817,0.482
0.43500,3.818,0.488
0.44000,3.818,0.494
0.44500,3.818,0.501
0.45000,3.818,0.507
0.45500,3.818,0.513
0.46000,3.818,0.520
0.46500,3.818,0.526
0.47000,3.819,0.533
0.47500,3.819,0.539
0.48000,3.819,0.545
0.48500,3.819,0.552
0.49000,3.820,0.558
0.49500,3.820,0.565
0.50000,3.820,0.571
0.50500,3.820,0.578
0.51000,3.820,0.584
0.51500,3.820,0.591
0.52000,3.820,0.597
0.52500,3.821,0.604
0.53000,3.821,0.610
0.53500,3.821,0.617
0.54000,3.821,0.623
0.54500,3.821,0.630
0.55000,3.821,0.637
0.55500,3.822,0.643
0.56000,3.822,0.650
0.56500,3.822,0.656
0.57000,3.822,0.663
0.57500,3.822,0.669
0.58000,3.822,0.676
0.58500,3.822,0.683
0.59000,3.822,0.689
0.59500,3.822,0.696
0.60000,3.822,0.702
0.60500,3.822,0.709
0.61000,3.822,0.716
0.61500,3.823,0.722
0.62000,3.823,0.729
0.62500,3.823,0.735
0.63000,3.823,0.742
0.63500,3.824,0.749
0.64000,3.824,0.755
0.64500,3.825,0.762
0.65000,3.825,0.768
0.65500,3.825,0.775
0.66000,3.825,0.782
0.66500,3.826,0.788
0.67000,3.826,0.795
0.67500,3.827,0.801
0.68000,3.827,0.808
0.68500,3.828,0.815
0.69000,3.828,0.821
0.69500,3.829,0.828
0.70000,3.830,0.834
0.70500,3.830,0.841
0.71000,3.831,0.848
0.71500,3.832,0.854
0.72000,3.832,0.861
0.72500,3.833,0.867
0.73000,3.834,0.874
0.73500,3.835,0.880
0.74000,3.836,0.887
0.74500,3.837,0.894
0.75000,3.838,0.900
0.75500,3.838,0.907
0.76000,3.839,0.913
0.76500,3.840,0.920
0.77000,3.841,0.926
0.77500,3.842,0.933
0.78000,3.843,0.939
0.78500,3.844,0.945
0.79000,3.846,0.952
0.79500,3.847,0.958
0.80000,3.848,0.965
0.80500,3.850,0.971
0.81000,3.851,0.978
0.81500,3.852,0.984
0.82000,3.853,0.990
0.82500,3.855,0.997
0.83000,3.856,1.003
0.83500,3.858,1.009
0.84000,3.859,1.016
0.84500,3.861,1.022
0.85000,3.863,1.028
0.85500,3.864,1.035
0.86000,3.866,1.041
0.86500,3.868,1.047
0.87000,3.869,1.053
0.87500,3.871,1.059
0.88000,3.873,1.066
0.88500,3.875,1.072
0.89000,3.877,1.078
0.89500,3.879,1.084
0.90000,3.881,1.090
0.90500,3.883,1.096
0.91000,3.885,1.102
0.91500,3.887,1.108
0.92000,3.890,1.114
0.92500,3.892,1.120
0.93000,3.894,1.126
0.93500,3.896,1.132
0.94000,3.899,1.138
0.94500,3.901,1.144
0.95000,3.904,1.150
0.95500,3.906,1.156
0.96000,3.909,1.161
0.96500,3.912,1.167
0.97000,3.914,1.173
0.97500,3.917,1.179
0.98000,3.920,1.184
0.98500,3.922,1.190
0.99000,3.925,1.195
0.99500,3.928,1.201
1.00000,3.931,1.207
1.00500,3.934,1.212
1.01000,3.937,1.218
1.01500,3.940,1.223
1.02000,3.943,1.228
